任务名,时间,区块号,训练井号,训练数据量,测试井号,测试数据量,准确率,其他
预测是否溢流,2023-11-08 16:48:17.755209,1.0,"[8, 23]",18154,[63],4915,0.5017293997965412,y是flag
预测是否溢流,2023-11-08 16:48:20.097954,15.0,"[46, 56, 86]",15846,[36],3480,0.4281609195402299,y是flag
,,,,,,,,
预测是否溢流,2023-11-08 16:56:00.649715,9.0,"[11, 21, 17]",12912,[111],13844,0.2711644033516325,y是flag
预测是否溢流,2023-11-08 16:56:08.282291,2.0,"[7, 14, 38, 52, 55, 58, 70, 108]",64816,"[40, 2, 78, 32]",92259,0.6019250154456476,y是flag
预测是否溢流,2023-11-08 16:56:09.962794,1.0,"[8, 63]",13270,[23],9799,0.4307582406367997,y是flag
预测是否溢流,2023-11-08 16:56:12.568821,15.0,"[36, 56, 86]",18133,[46],1193,0.8792958927074602,y是flag
,,,,,,,,
预测是否溢流,2023-11-08 16:57:09.033197,9.0,"[11, 17, 111]",20951,[21],5805,0.49147286821705427,y是flag
预测是否溢流,2023-11-08 16:57:26.614154,2.0,"[14, 38, 40, 52, 55, 58, 2, 78]",106985,"[70, 108, 7, 32]",50090,0.7642842882810941,y是flag
预测是否溢流,2023-11-08 16:57:29.220180,1.0,"[63, 23]",14714,[8],8355,0.7127468581687613,y是flag
预测是否溢流,2023-11-08 16:57:33.820870,15.0,"[36, 46, 86]",15200,[56],4126,0.36063984488608825,y是flag
,,,,,,,,
