任务名,时间,区块号,训练井号,训练数据量,测试井号,测试数据量,mse,其他
立管压力预测,2023-11-08 17:00:54.972555,9.0,"[21, 17, 111]",14870,[11],1556,131.99748699026054, 
立管压力预测,2023-11-08 17:01:10.023680,2.0,"[14, 32, 40, 58, 2, 70, 108]",56041,"[7, 38, 78, 52]",15022,7.028989685082354, 
立管压力预测,2023-11-08 17:01:14.395980,1.0,"[8, 63]",6721,[23],4879,20.874381495717074, 
立管压力预测,2023-11-08 17:01:19.435496,15.0,"[36, 46, 86]",7203,[56],2066,98.41632406442808, 
,,,,,,,,
