epoch,33,107,21,80,104,9,40,94,4,16,other
1,46.5%,48.8%,50.5%,50.3%,49.4%,79.2%,52.7%,49.8%,57.3%,45.1%,"剔除了井[11, 5, 6]"
2,48.6%,48.8%,50.5%,52.2%,50.6%,80.3%,44.0%,68.8%,57.3%,51.5%,"剔除了井[19, 18, 27]"
