epoch,111,5,55,71,100,19,90,65,50,13,other
1,72.9%,49.4%,0.0%,55.3%,49.7%,74.2%,48.6%,54.4%,47.3%,48.2%,"removed [27, 46, 108], mlp"
2,27.1%,50.6%,100.0%,44.7%,50.3%,25.8%,51.4%,45.6%,52.7%,51.8%,"removed [105, 40, 37], mlp"
3,72.9%,49.4%,0.0%,55.3%,49.7%,74.2%,48.6%,54.4%,47.3%,48.2%,"removed [7, 4, 84], mlp"
4,27.1%,50.6%,100.0%,44.7%,50.3%,25.8%,51.4%,45.6%,52.7%,51.8%,"removed [6, 94, 60], mlp"
5,27.1%,50.6%,100.0%,44.7%,50.3%,25.8%,51.4%,45.6%,52.7%,51.8%,"removed [78, 9, 104], mlp"
6,27.1%,50.6%,100.0%,44.7%,50.3%,25.8%,51.4%,45.6%,52.7%,51.8%,"removed [33, 28, 61], mlp"
7,72.9%,49.4%,0.0%,55.3%,49.7%,74.2%,48.6%,54.4%,47.3%,48.2%,"removed [14, 38, 16], mlp"
8,27.1%,50.6%,100.0%,44.7%,50.3%,25.8%,51.4%,45.6%,52.7%,51.8%,"removed [49, 95, 85], mlp"
