epoch,111,5,55,71,100,19,90,65,50,13,other
1,97.5%,51.1%,25.5%,41.8%,81.2%,59.6%,62.3%,46.5%,51.1%,53.7%,"剔除了井[6, 4, 9]"
2,99.2%,50.3%,85.4%,40.1%,76.4%,47.5%,67.3%,47.2%,52.1%,50.8%,"剔除了井[16, 11, 18]"
3,96.2%,50.9%,72.9%,45.4%,87.1%,30.2%,55.8%,46.0%,50.9%,53.8%,"剔除了井[21, 28, 27]"
4,95.1%,52.8%,61.1%,44.9%,79.8%,40.9%,69.7%,45.7%,52.0%,54.0%,"剔除了井[14, 8, 7]"
5,58.2%,50.3%,68.7%,51.9%,70.9%,26.3%,76.1%,51.8%,51.8%,56.0%,"剔除了井[33, 17, 32]"
6,95.8%,53.8%,93.9%,47.9%,77.9%,25.8%,71.1%,48.6%,52.5%,57.4%,"剔除了井[36, 37, 38]"
7,98.9%,49.8%,75.8%,44.7%,76.4%,25.8%,66.7%,47.6%,54.9%,52.4%,"剔除了井[49, 40, 46]"
8,27.8%,52.1%,69.2%,44.3%,79.1%,31.4%,76.0%,47.2%,52.6%,82.3%,"剔除了井[54, 52, 56]"
