epoch,2,38,108,78,other
0,51.7%,44.9%,31.7%,39.5%,initial
1,51.7%,44.9%,31.7%,39.5%,"remove [32, 70]"
2,51.7%,44.9%,31.7%,39.5%,"remove [58, 52]"
3,51.7%,44.9%,31.7%,39.5%,"remove [14, 40]"
