epoch,111,5,55,71,100,19,90,65,50,13,other
1,55.2%,50.5%,80.8%,51.6%,60.2%,25.8%,51.4%,46.2%,56.8%,51.5%,"removed [6, 94, 80], lgb"
2,97.2%,50.2%,77.2%,48.6%,58.0%,22.3%,52.3%,46.8%,53.0%,67.4%,"removed [56, 60, 75], lgb"
3,100.0%,51.4%,78.3%,48.6%,59.8%,25.4%,52.6%,45.6%,62.9%,67.9%,"removed [27, 105, 16], lgb"
4,98.1%,50.7%,76.6%,38.5%,45.1%,25.4%,51.9%,45.6%,53.3%,63.4%,"removed [23, 63, 33], lgb"
5,92.7%,51.8%,93.0%,49.0%,68.4%,20.5%,54.0%,45.4%,52.7%,52.6%,"removed [8, 36, 84], lgb"
6,51.8%,51.6%,94.8%,60.5%,47.7%,21.6%,53.3%,45.6%,52.6%,51.8%,"removed [38, 62, 101], lgb"
7,85.9%,52.8%,75.0%,44.6%,50.3%,54.4%,51.6%,45.8%,57.4%,51.9%,"removed [40, 95, 18], lgb"
8,89.0%,58.7%,51.3%,56.5%,47.7%,26.1%,50.1%,45.9%,54.7%,59.1%,"removed [17, 107, 99], lgb"
