epoch,60,108,32,27,65,9,28,90,17,13,other
1,73.9%,78.9%,91.0%,100.0%,47.0%,72.8%,67.3%,80.3%,58.7%,51.3%,"剔除了井[5, 6, 4]"
2,70.2%,85.3%,87.1%,68.8%,45.6%,86.7%,67.8%,88.6%,92.1%,51.7%,"剔除了井[16, 11, 18]"
3,53.6%,85.7%,86.1%,98.5%,49.0%,86.0%,66.5%,85.4%,55.9%,52.0%,"剔除了井[19, 21, 7]"
4,64.3%,66.3%,86.0%,33.2%,44.0%,68.7%,63.7%,72.3%,54.0%,52.5%,"剔除了井[14, 33, 8]"
5,63.1%,83.6%,84.7%,32.9%,51.8%,66.0%,61.5%,76.3%,51.6%,53.8%,"剔除了井[36, 37, 38]"
6,56.5%,54.7%,82.5%,34.0%,60.3%,75.0%,63.5%,76.5%,57.1%,97.2%,"剔除了井[49, 40, 46]"
7,54.9%,68.7%,68.8%,97.1%,47.2%,78.1%,70.1%,78.5%,58.2%,78.6%,"剔除了井[50, 54, 52]"
8,65.6%,67.4%,83.3%,99.0%,59.5%,59.3%,61.7%,68.9%,53.1%,82.3%,"剔除了井[57, 55, 56]"
