epoch,74,97,99,4,14,111,38,46,78,50,other
1,51.7%,51.2%,50.8%,71.7%,87.6%,91.8%,91.0%,86.2%,77.6%,52.5%,"лчЁЩак╬╝[36, 6, 94]"
2,73.3%,51.8%,53.1%,60.9%,57.4%,86.1%,44.9%,86.8%,77.9%,52.7%,"лчЁЩак╬╝[19, 60, 105]"
3,49.2%,49.7%,53.2%,46.1%,79.9%,85.0%,82.4%,85.6%,57.8%,52.6%,"лчЁЩак╬╝[84, 11, 16]"
